name,bco,url,logo
MERCEDES-BENZ COMPAÑÍA FINANCIERA A,44094,http://www.mbfinanciera.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/44094.jpg
MONTEMAR COMPAÑIA FINANCIERA S.A.,45056,http://www.montemar.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/45056.jpg
NARANJA DIGITAL COMPAÑÍA FINANCIERA,45030,http://www.naranjax.com,https://www.bcra.gob.ar/Imagenes/logosbancos/45030.jpg
NUEVO BANCO DE ENTRE RÍOS S.A.,00386,http://www.bancoentrerios.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00386.jpg
NUEVO BANCO DE SANTA FE SOCIEDAD AN,00330,http://www.bancobsf.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00330.jpg
NUEVO BANCO DEL CHACO S. A.,00311,http://www.nbch.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00311.jpg
OPEN BANK ARGENTINA S.A.,00158,http://www.openbank.com.ar,
PSA FINANCE ARGENTINA COMPAÑÍA FINA,44098,http://www.psafinance.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/44098.jpg
RCI BANQUE S.A.,00339,http://www.rcibanque.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00339.jpg
ROMBO COMPAÑÍA FINANCIERA S.A.,44095,http://www.renaultcredit.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/44095.jpg
TOYOTA COMPAÑÍA FINANCIERA DE ARGEN,44099,http://www.toyotacfa.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/44099.jpg
TRANSATLANTICA COMPAÑIA FINANCIERA ,45072,http://www.tsaciafinanciera.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/45072.jpg
VOLKSWAGEN FINANCIAL SERVICES COMPA,44088,http://www.vwfs.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/44088.jpg
WILOBANK S.A.U.,00384,http://www.wilobank.com,https://www.bcra.gob.ar/Imagenes/logosbancos/00384.jpg
